YEAR	TICKET_SALES	CONTRIBUTIONS	RIGHTS_LICENSING	STUDENT_FEES	SCHOOL_FUNDS	OTHER	TOTAL REVENUES
2016	$15,493,405	$18,087,939	$40,945,574	$500,695	$0	$2,909,051	$77,936,664
2015	$16,347,260	$22,527,463	$34,482,713	$500,695	$361,985	$1,103,162	$75,323,278
2014	$15,654,798	$18,492,032	$33,774,974	$500,695	$847,226	$3,665,319	$72,935,044
2013	$15,077,529	$17,970,185	$32,304,355	$500,695	$1,985,563	$2,618,956	$70,457,283
2012	$14,609,401	$14,806,198	$30,124,278	$640,695	$2,095,238	$995,805	$63,271,615
2011	$14,403,374	$26,503,774	$19,944,237	$710,695	$2,580,956	$5,804,798	$69,947,834
2010	$13,606,196	$16,396,559	$16,446,930	$560,695	$2,674,413	$3,751,997	$53,436,790
2009	$14,141,647	$12,033,138	$14,973,549	$566,752	$2,919,726	$3,782,238	$48,417,050
2008	$14,158,650	$13,029,211	$14,203,069	$573,508	$2,616,051	$4,533,217	$49,113,706
2007	$14,355,406	$12,357,642	$14,013,562	$566,752	$2,467,776	$5,516,240	$49,277,378
2006	$12,469,641	$14,079,775	$11,336,345	$582,352	$1,522,182	$3,421,049	$43,411,343
2005	$12,766,568	$9,691,487	$11,586,257	$566,752	$2,382,288	$2,890,867	$39,884,219
2017	$9,222,191	$21,679,168	$48,635,900	$0	$0	$5,303,874	$84,841,133
2016	$9,972,989	$19,000,750	$45,526,147	$0	$0	$4,200,090	$78,699,976
2015	$9,832,040	$17,531,381	$43,074,547	$0	$0	$5,199,726	$75,637,694
2014	$14,421,078	$15,281,636	$37,459,830	$0	$0	$4,209,662	$71,372,206
2013	$14,004,489	$17,187,187	$35,202,114	$0	$0	$5,985,602	$72,379,392
2012	$15,803,461	$15,907,447	$33,798,747	$0	$0	$5,114,739	$70,624,394
2011	$15,875,167	$13,401,804	$31,752,036	$0	$0	$5,173,486	$66,202,493
2010	$16,587,166	$12,732,548	$28,271,025	$0	$0	$4,062,822	$61,653,561
2009	$17,440,185	$11,551,725	$27,207,875	$0	$0	$3,882,306	$60,082,091
2008	$17,596,957	$10,411,973	$29,917,350	$0	$0	$6,327,504	$64,253,784
2007	$15,544,705	$12,454,805	$23,928,372	$0	$7,820	$5,821,707	$57,757,409
2006	$14,308,815	$13,530,574	$18,928,053	$0	$8,394	$4,944,517	$51,720,353
2005	$14,806,753	$13,724,374	$18,555,989	$0	$677,093	$3,561,237	$51,325,446
2017	$21,219,458	$15,078,662	$38,408,049	$6,550,407	$1,384	$2,483,612	$83,741,572
2016	$19,017,232	$15,119,174	$37,032,338	$6,603,275	$2,024	$2,450,986	$80,225,029
2015	$18,947,413	$13,936,125	$36,591,714	$6,691,463	$4,852	$663,036	$76,834,603
2014	$20,952,442	$10,824,170	$28,762,136	$6,687,509	$21,142	$3,253,412	$70,500,811
2013	$19,730,883	$10,570,589	$26,981,817	$6,531,331	$0	$3,667,019	$67,481,639
2012	$18,237,979	$10,710,592	$22,970,935	$5,426,700	$0	$2,411,705	$59,757,911
2011	$20,810,758	$10,102,474	$16,594,905	$1,041,367	$47,528	$2,479,313	$51,076,345
2010	$18,398,410	$7,004,157	$17,585,427	$4,200,610	$1,845,691	$424,707	$49,459,002
2009	$18,296,826	$7,802,804	$17,223,745	$3,679,254	$1,842,494	$1,741,824	$50,586,947
2008	$18,081,143	$6,306,023	$15,978,282	$3,380,687	$0	$1,886,088	$45,632,223
2007	$16,858,492	$9,260,107	$15,924,895	$3,105,533	$0	$2,681,413	$47,830,440
2006	$16,855,670	$7,719,365	$15,575,785	$2,404,701	$3,000,000	$280,574	$45,836,095
2005	$12,972,438	$5,908,478	$13,663,727	$2,398,416	$0	$850,611	$35,793,670
2017	$17,097,290	$9,031,413	$40,955,439	$6,057,038	$6,364,677	$4,166,782	$83,672,639
2016	$16,976,245	$8,549,247	$38,399,704	$6,084,769	$5,835,686	$3,601,861	$79,447,512
2015	$13,100,456	$7,978,494	$29,664,437	$5,926,012	$4,296,079	$1,476,074	$62,441,552
2014	$13,679,024	$9,967,838	$21,407,383	$6,083,151	$3,778,955	$1,553,959	$56,470,310
2013	$12,039,126	$7,457,524	$15,396,479	$6,055,156	$4,184,344	$1,722,654	$46,855,283
2012	$11,287,925	$8,361,527	$9,894,094	$6,012,882	$3,969,621	$1,312,169	$40,838,218
2011	$10,393,556	$7,600,616	$8,239,702	$5,412,597	$3,968,970	$2,476,097	$38,091,538
2010	$7,887,230	$5,750,835	$7,215,963	$4,168,754	$4,369,890	$1,489,718	$30,882,390
2009	$7,873,997	$5,213,246	$9,651,633	$3,719,204	$3,988,518	$1,579,838	$32,026,436
2008	$7,179,957	$4,887,461	$7,052,310	$3,633,154	$3,479,363	$1,214,895	$27,447,140
2007	$7,386,628	$4,554,345	$6,136,040	$3,558,403	$3,301,654	$976,262	$25,913,332
2006	$7,692,268	$4,876,238	$4,730,529	$3,478,743	$3,058,901	$1,210,087	$25,046,766
2005	$6,971,262	$3,668,651	$8,179,256	$3,330,990	$2,671,796	$684,190	$25,506,145
2017	$9,843,615	$5,666,522	$24,501,727	$8,280,611	$33,947,001	$1,134,747	$83,374,223
2016	$10,362,040	$6,166,461	$24,587,464	$8,280,611	$26,990,210	$2,842,489	$79,229,275
2015	$9,925,295	$6,742,838	$25,495,536	$10,202,710	$17,867,971	$1,921,439	$72,155,789
2014	$10,699,311	$6,278,975	$25,535,303	$9,929,474	$17,273,557	$1,802,813	$71,519,433
2013	$8,889,522	$7,202,733	$25,991,897	$9,751,911	$9,108,912	$2,391,047	$63,336,022
2012	$11,118,137	$10,962,862	$22,138,735	$9,181,874	$8,098,039	$2,067,262	$63,566,909
2011	$10,628,171	$9,586,800	$24,807,029	$8,744,642	$6,285,081	$3,037,617	$63,089,340
2010	$11,469,043	$5,950,265	$23,485,333	$8,626,506	$5,951,523	$3,023,049	$58,505,719
2009	$11,315,666	$9,299,748	$21,661,143	$8,163,198	$5,618,083	$2,388,603	$58,446,441
2008	$11,597,292	$11,747,076	$18,782,895	$7,496,532	$3,688,686	$1,905,522	$55,218,003
2007	$13,437,072	$12,163,581	$14,923,915	$6,792,437	$3,630,112	$1,895,810	$52,842,927
2006	$13,334,815	$10,082,536	$14,252,957	$6,348,072	$3,553,809	$2,354,794	$49,926,983
2005	$15,181,912	$6,212,138	$14,207,898	$6,058,908	$3,467,924	$2,066,612	$47,195,392
2017	$14,260,192	$17,551,225	$44,522,437	$2,133,219	$0	$4,192,374	$82,659,447
2016	$15,626,121	$14,837,823	$41,438,418	$2,111,137	$0	$4,342,001	$78,355,500
2015	$14,155,561	$21,012,134	$34,126,584	$2,044,400	$0	$3,944,837	$75,283,516
2014	$14,418,164	$17,402,605	$30,512,879	$1,957,396	$0	$3,879,337	$68,170,381
2013	$13,274,318	$13,225,913	$29,425,113	$1,834,796	$0	$4,597,621	$62,357,761
2012	$12,962,376	$7,872,786	$28,536,966	$1,721,450	$0	$4,057,439	$55,151,017
2011	$11,684,493	$11,591,024	$18,209,898	$1,689,692	$2,049,423	$3,367,087	$48,591,617
2010	$11,377,858	$13,053,329	$15,658,653	$1,182,848	$2,354,423	$3,244,443	$46,871,554
2009	$11,711,417	$11,425,908	$14,455,386	$1,197,018	$3,604,793	$3,418,667	$45,813,189
2008	$13,203,608	$6,800,156	$12,537,797	$1,098,035	$2,953,733	$2,028,017	$38,621,346
2007	$6,987,167	$7,926,390	$11,676,637	$1,072,333	$2,914,240	$2,098,413	$32,675,181
2006	$10,195,647	$3,979,931	$12,174,138	$1,089,160	$2,824,101	$2,174,063	$32,437,040
2005	$9,124,046	$4,416,565	$9,459,102	$1,124,361	$2,640,797	$2,148,139	$28,913,010
2017	$11,756,425	$11,187,993	$35,089,773	$5,387,074	$2,264,352	$16,076,407	$81,762,024
2016	$13,101,709	$11,022,030	$31,593,887	$5,270,384	$2,171,535	$13,249,748	$76,409,293
2015	$9,207,769	$11,164,208	$33,663,030	$5,151,400	$2,120,382	$15,895,969	$77,202,758
2014	$10,900,497	$17,088,864	$28,797,847	$5,073,873	$2,033,904	$4,574,553	$68,469,538
2013	$8,660,634	$15,135,413	$25,935,293	$5,117,430	$2,029,959	$4,902,083	$61,780,812
2012	$13,115,448	$11,797,510	$24,170,394	$4,937,616	$1,977,126	$7,186,069	$63,184,163
2011	$9,953,306	$12,953,491	$18,842,289	$4,786,859	$1,667,212	$6,151,252	$54,354,409
2010	$12,293,143	$12,881,894	$19,073,936	$4,643,368	$1,802,144	$4,665,257	$55,359,742
2009	$9,987,023	$13,564,163	$19,551,739	$4,288,113	$1,708,579	$6,461,085	$55,560,702
2008	$11,301,059	$14,143,732	$13,973,098	$3,959,482	$896,327	$10,238,270	$54,511,968
2007	$11,132,279	$15,038,957	$11,921,043	$2,327,210	$725,428	$10,502,788	$51,647,705
2006	$9,170,181	$10,132,636	$11,831,468	$2,098,406	$621,575	$11,675,072	$45,529,338
2005	$8,971,612	$7,010,891	$10,668,072	$1,976,802	$557,760	$13,968,570	$43,153,707
2017	$13,346,970	$9,785,111	$43,615,846	$2,673,568	$4,453,200	$5,085,180	$78,959,875
2016	$10,469,199	$8,805,109	$38,485,539	$2,597,200	$4,650,200	$7,724,000	$72,731,247
2015	$10,978,823	$9,817,033	$34,235,884	$2,502,549	$4,440,000	$2,901,717	$64,876,006
2014	$10,080,314	$10,670,196	$28,044,856	$2,502,831	$9,782,622	$2,220,975	$63,301,794
2013	$10,909,633	$12,658,820	$27,385,484	$2,565,348	$9,704,893	$2,243,792	$65,467,970
2012	$9,541,151	$9,816,920	$17,034,026	$2,442,222	$16,285,197	$3,587,321	$58,706,837
2011	$10,389,424	$9,535,722	$15,039,448	$2,277,720	$14,688,891	$3,612,810	$55,544,015
2010	$9,525,756	$16,439,009	$14,860,469	$2,142,702	$8,817,914	$3,827,495	$55,613,345
2009	$10,139,347	$11,829,544	$16,197,375	$2,113,218	$9,325,885	$3,537,520	$53,142,889
2008	$8,469,533	$16,614,611	$13,325,497	$1,203,903	$8,995,105	$4,266,690	$52,875,339
2007	$8,986,521	$15,646,473	$11,544,737	$1,494,984	$12,664,890	$2,133,822	$52,471,427
2006	$6,995,844	$12,596,548	$10,106,640	$1,494,984	$19,621,476	$2,786,451	$53,601,943
2005	$6,224,823	$13,348,937	$9,007,612	$1,495,296	$5,072,056	$2,096,632	$37,245,356
2017	$7,656,362	$8,212,785	$38,045,924	$1,571,828	$3,691,231	$5,116,390	$64,294,520
2016	$5,532,126	$7,718,902	$35,207,583	$818,961	$4,130,892	$5,344,802	$58,753,266
2015	$6,806,955	$6,617,601	$30,798,983	$1,131,902	$4,980,154	$3,777,009	$54,112,604
2014	$5,888,263	$7,017,691	$27,015,259	$990,402	$9,114,236	$4,400,967	$54,426,818
2013	$6,786,655	$8,274,561	$23,640,976	$1,065,849	$5,449,845	$1,973,354	$47,191,240
2012	$6,547,079	$7,855,037	$16,878,837	$1,123,849	$7,668,378	$2,656,368	$42,729,548
2011	$5,101,745	$7,108,305	$13,129,810	$1,608,068	$9,923,573	$3,111,981	$39,983,482
2010	$5,181,093	$6,754,924	$12,687,841	$1,862,522	$7,487,283	$5,378,433	$39,352,096
2009	$5,981,037	$7,726,529	$11,107,277	$1,870,506	$8,093,399	$3,515,007	$38,293,755
2008	$6,751,773	$7,512,105	$11,800,989	$1,115,799	$7,974,705	$4,465,689	$39,621,060
2007	$5,664,783	$6,713,178	$9,975,576	$1,078,202	$7,173,628	$3,622,930	$34,228,297
2006	$5,698,411	$5,946,515	$8,933,355	$946,716	$6,854,522	$3,549,174	$31,928,693
2005	$4,491,465	$4,515,272	$9,070,331	$878,370	$6,684,773	$2,750,842	$28,391,053
2017	$7,420,821	$4,019,074	$17,824,578	$0	$26,745,506	$4,448,216	$60,458,195
2016	$7,781,571	$4,662,582	$16,639,872	$0	$24,892,123	$5,086,008	$59,062,156
2015	$5,670,248	$4,717,273	$16,259,323	$0	$23,182,129	$2,707,212	$52,536,185
2014	$7,210,699	$5,239,292	$16,069,606	$0	$27,118,373	$3,462,483	$59,100,453
2013	$7,416,843	$5,223,762	$18,444,649	$0	$21,754,860	$9,075,317	$61,915,431
2012	$8,098,155	$6,218,816	$13,194,141	$0	$16,509,915	$4,871,264	$48,892,291
2011	$8,485,966	$5,848,897	$10,422,295	$0	$14,708,672	$3,259,011	$42,724,841
2010	$6,377,284	$5,650,252	$10,960,239	$0	$13,457,464	$4,475,654	$40,920,893
2009	$5,237,410	$5,619,573	$16,248,593	$0	$12,740,343	$4,079,714	$43,925,633
2008	$4,984,749	$5,246,676	$7,575,238	$0	$10,699,504	$3,775,379	$32,281,546
2007	$4,075,486	$3,886,636	$6,577,040	$0	$10,378,575	$3,478,160	$28,395,897
2006	$4,451,586	$4,210,153	$5,347,734	$0	$5,723,784	$2,366,534	$22,099,791
2005	$3,889,980	$4,636,229	$4,957,741	$0	$5,642,852	$1,997,374	$21,124,176
2017	$3,542,723	$8,705,370	$11,039,416	$386,725	$32,952,522	$2,951,024	$59,577,780
2015	$3,818,062	$2,194,202	$7,582,503	$381,580	$33,697,139	$2,518,183	$50,191,669
2014	$5,849,136	$2,246,463	$5,468,023	$387,136	$30,505,473	$2,121,609	$46,577,840
2013	$4,289,880	$1,137,161	$4,932,965	$515,333	$25,013,822	$3,142,187	$39,031,348
2012	$4,822,242	$1,201,506	$7,364,142	$438,813	$27,064,777	$3,598,575	$44,490,055
2011	$5,128,692	$775,116	$6,006,742	$461,428	$25,274,972	$2,176,832	$39,823,782
2010	$4,111,024	$802,526	$5,006,866	$428,142	$22,072,422	$2,494,271	$34,915,251
2009	$4,361,495	$590,903	$7,023,144	$342,896	$19,131,571	$2,166,921	$33,616,930
2008	$4,379,928	$588,954	$6,561,286	$334,425	$16,245,173	$2,494,483	$30,604,249
2007	$4,870,515	$422,001	$6,075,785	$337,650	$14,468,615	$2,849,838	$29,024,404
2006	$4,102,689	$312,736	$6,496,949	$304,494	$14,180,040	$1,688,316	$27,085,224
2005	$2,783,786	$0	$3,150,350	$239,045	$8,178,000	$1,129,900	$15,481,081
2017	$6,551,591	$9,923,994	$9,721,767	$8,094,424	$17,609,027	$5,274,097	$57,174,900
2016	$4,868,522	$8,143,810	$7,763,475	$7,546,458	$17,609,027	$5,538,005	$51,469,297
2015	$4,283,816	$6,408,388	$7,225,130	$7,260,060	$18,733,954	$903,862	$44,815,210
2014	$3,450,712	$5,755,363	$8,781,243	$7,737,707	$14,006,414	$579,285	$40,310,724
2013	$3,812,821	$4,297,420	$6,685,666	$7,782,707	$18,331,757	$1,114,516	$42,024,887
2012	$4,934,030	$4,010,280	$3,912,371	$4,407,707	$16,936,151	$2,451,953	$36,652,492
2011	$3,386,042	$3,248,050	$5,560,287	$4,362,707	$15,779,750	$2,277,197	$34,614,033
2010	$3,464,093	$3,172,831	$5,988,150	$4,728,620	$12,691,796	$2,988,993	$33,034,483
2009	$1,794,287	$2,212,800	$5,477,589	$4,551,623	$15,334,786	$1,970,840	$31,341,925
2008	$2,208,200	$2,733,299	$5,685,762	$4,399,705	$13,148,040	$2,813,444	$30,988,450
2007	$1,979,543	$3,289,521	$5,150,313	$4,244,432	$2,308,000	$2,805,530	$19,777,339
2006	$1,560,081	$2,017,122	$4,171,447	$3,822,190	$2,381,665	$1,748,067	$15,700,572
2005	$1,316,042	$1,774,082	$2,622,713	$3,537,318	$8,900,000	$4,498,778	$22,648,933
2017	$4,458,254	$10,303,140	$10,733,983	$22,610,206	$5,051,721	$3,169,921	$56,327,225
2016	$3,934,495	$6,918,969	$9,063,153	$22,447,191	$4,391,175	$12,624,470	$59,379,453
2015	$4,381,701	$9,733,191	$8,731,487	$21,739,649	$3,032,455	$3,837,120	$51,455,603
2014	$5,083,557	$5,424,975	$15,138,977	$20,029,409	$2,813,757	$1,273,477	$49,764,152
2013	$3,939,506	$5,088,098	$7,569,234	$20,127,941	$2,730,038	$1,767,484	$41,222,301
2012	$4,430,453	$4,712,416	$6,874,144	$19,638,714	$2,773,693	$2,564,450	$40,993,870
2011	$5,167,757	$6,370,570	$8,163,517	$18,818,806	$2,945,918	$1,296,057	$42,762,625
2010	$5,953,071	$5,308,200	$7,303,270	$17,466,918	$2,838,211	$1,193,888	$40,063,558
2009	$6,106,044	$5,208,455	$6,260,635	$15,614,184	$2,541,999	$1,842,015	$37,573,332
2008	$6,059,876	$6,457,320	$6,625,843	$14,608,022	$4,068,042	$1,896,627	$39,715,730
2007	$3,414,214	$2,925,301	$3,479,601	$13,128,498	$2,094,563	$1,018,365	$26,060,542
2006	$1,054,648	$2,431,244	$3,349,323	$12,636,894	$1,838,894	$1,549,739	$22,860,742
2005	$1,317,224	$3,357,302	$1,435,120	$11,932,441	$1,823,896	$2,223,435	$22,089,418
2017	$5,809,058	$8,826,053	$11,682,122	$11,084,589	$13,238,377	$1,814,588	$52,454,787
2016	$5,850,716	$10,388,209	$10,749,583	$10,635,088	$15,647,711	$3,279,721	$56,551,028
2015	$4,793,777	$8,071,494	$10,223,400	$10,156,727	$13,818,160	$1,948,187	$49,011,745
2014	$6,768,575	$9,581,991	$10,154,802	$9,995,951	$8,507,764	$1,969,106	$46,978,189
2013	$5,350,541	$5,643,426	$9,196,793	$9,719,702	$7,860,022	$1,441,343	$39,211,827
2012	$4,955,141	$3,923,059	$10,084,131	$9,622,766	$7,256,395	$2,161,799	$38,003,291
2011	$3,941,409	$11,089,506	$9,526,023	$9,729,474	$8,410,650	$2,504,641	$45,201,703
2010	$3,042,365	$3,233,772	$8,414,217	$10,220,740	$6,745,994	$925,488	$32,582,576
2009	$3,134,610	$3,689,147	$9,101,312	$6,145,509	$9,401,031	$1,498,941	$32,970,550
2008	$3,380,785	$3,154,918	$7,657,601	$6,262,608	$10,611,684	$1,050,655	$32,118,251
2007	$3,649,218	$2,759,598	$7,506,739	$5,833,349	$9,606,551	$1,616,640	$30,972,095
2006	$3,495,800	$3,566,514	$8,486,124	$7,097,349	$7,449,403	$1,519,223	$31,614,413
2005	$2,982,684	$3,163,001	$7,364,451	$5,301,210	$5,860,172	$1,438,918	$26,110,436
2017	$6,071,874	$2,566,098	$16,352,125	$17,079,235	$4,424,495	$3,466,511	$49,960,338
2016	$3,036,967	$2,942,660	$15,435,038	$17,032,220	$6,370,829	$2,343,105	$47,160,819
2015	$4,206,566	$2,454,618	$16,076,507	$16,749,669	$5,024,903	$966,749	$45,479,012
2014	$4,980,088	$3,719,221	$17,583,995	$16,450,523	$4,905,447	$744,654	$48,383,928
2013	$6,888,742	$2,442,458	$16,357,767	$16,248,285	$1,455,486	$1,673,520	$45,066,258
2012	$6,023,919	$3,053,827	$15,645,668	$15,534,732	$1,153,918	$2,162,336	$43,574,400
2011	$5,828,048	$2,735,003	$14,628,344	$15,231,708	$1,329,909	$2,195,111	$41,948,123
2010	$6,414,049	$2,893,587	$13,946,663	$13,026,289	$1,158,748	$1,751,603	$39,190,939
2009	$6,420,512	$2,932,840	$12,941,642	$12,477,155	$1,302,559	$1,911,463	$37,986,171
2008	$6,717,314	$2,842,750	$10,426,662	$11,553,648	$1,267,614	$2,127,825	$34,935,813
2007	$4,014,353	$2,135,633	$7,733,777	$10,812,956	$1,442,016	$2,021,896	$28,160,631
2006	$4,231,975	$2,092,880	$6,133,410	$10,227,371	$1,140,298	$1,915,212	$25,741,146
2005	$2,975,011	$2,675,193	$3,112,295	$9,183,299	$1,093,589	$1,526,484	$20,565,871
2017	$8,804,547	$9,279,348	$11,068,591	$7,488,847	$10,768,374	$1,307,123	$48,716,830
2016	$10,036,174	$10,499,478	$8,241,047	$7,387,557	$10,976,828	$2,886,257	$50,027,341
2015	$7,401,424	$9,072,203	$7,265,646	$7,603,577	$10,584,325	$1,503,229	$43,430,404
2014	$8,596,559	$11,387,709	$9,325,852	$7,721,891	$11,615,594	$1,630,898	$50,278,503
2013	$8,299,006	$11,593,690	$5,967,469	$8,223,129	$10,683,099	$1,579,892	$46,346,285
2012	$8,274,933	$11,678,388	$6,041,879	$8,606,354	$10,227,391	$1,954,558	$46,783,503
2011	$9,227,376	$8,917,000	$5,696,768	$8,757,769	$6,446,841	$1,338,511	$40,384,265
2010	$9,087,159	$11,321,485	$5,524,762	$7,666,067	$3,893,138	$2,028,231	$39,520,842
2009	$7,754,262	$8,706,646	$6,045,320	$7,420,972	$3,914,945	$2,019,309	$35,861,454
2008	$8,662,993	$7,820,248	$5,653,951	$7,284,459	$2,876,685	$2,080,687	$34,379,023
2007	$8,795,402	$7,957,280	$4,782,012	$3,792,374	$1,837,735	$2,170,992	$29,335,795
2006	$7,879,889	$7,046,392	$4,823,251	$3,887,929	$1,317,212	$2,200,855	$27,155,528
2005	$6,148,023	$6,887,268	$4,242,460	$3,881,276	$776,652	$2,353,702	$24,289,381
2017	$7,266,784	$11,008,954	$8,267,762	$15,159,430	$4,580,070	$2,029,311	$48,312,311
2016	$6,918,040	$9,097,450	$7,499,729	$14,249,768	$4,647,262	$2,200,835	$44,613,084
2015	$7,293,727	$14,409,954	$7,256,520	$13,517,117	$4,536,194	$1,904,793	$48,918,305
2014	$6,772,823	$6,358,202	$6,732,338	$13,070,200	$2,610,247	$1,054,972	$36,598,782
2013	$6,859,822	$5,744,975	$6,587,254	$12,368,781	$2,600,735	$1,643,665	$35,805,232
2012	$7,935,985	$5,109,529	$5,424,803	$11,890,141	$2,497,389	$2,717,325	$35,575,172
2011	$8,010,665	$4,900,366	$6,130,860	$11,187,866	$2,327,704	$1,491,408	$34,048,869
2010	$6,138,102	$4,440,585	$6,298,577	$10,441,783	$3,422,504	$1,538,905	$32,280,456
2009	$5,571,181	$4,781,806	$5,424,801	$10,289,188	$2,197,194	$3,720,488	$31,984,658
2008	$5,880,754	$4,330,917	$5,182,317	$9,813,305	$2,243,406	$1,817,429	$29,268,128
2007	$4,772,337	$4,192,467	$4,154,912	$8,616,009	$2,001,128	$1,419,789	$25,156,642
2006	$3,075,339	$4,123,482	$4,019,618	$7,510,446	$2,142,108	$1,797,136	$22,668,129
2005	$2,983,554	$3,844,313	$2,885,911	$6,663,961	$2,007,389	$2,743,091	$21,128,219
2017	$4,865,689	$7,661,855	$11,070,018	$2,987,782	$18,634,658	$2,107,476	$47,327,478
2016	$5,789,602	$8,970,585	$9,978,618	$2,958,156	$15,617,025	$3,572,038	$46,886,024
2015	$5,321,665	$8,701,472	$9,878,255	$2,839,079	$16,414,594	$1,860,471	$45,015,536
2014	$5,627,480	$7,940,514	$9,088,024	$2,626,923	$17,156,351	$1,618,268	$44,057,560
2013	$6,426,881	$7,752,604	$12,547,580	$2,592,959	$33,570,337	$1,622,683	$64,513,044
2012	$5,758,489	$6,343,180	$12,572,882	$2,527,911	$30,068,949	$1,535,122	$58,806,533
2011	$5,970,928	$5,726,893	$12,725,247	$2,730,776	$29,561,660	$2,829,365	$59,544,869
2010	$5,409,086	$3,546,691	$12,367,967	$2,287,676	$31,785,715	$1,099,098	$56,496,233
2009	$5,466,961	$6,164,192	$8,444,173	$2,001,419	$13,746,518	$1,707,933	$37,531,196
2008	$6,560,391	$5,110,293	$6,221,150	$1,938,594	$17,105,730	$1,441,789	$38,377,947
2007	$4,012,090	$4,847,879	$6,083,990	$1,952,569	$14,741,713	$1,602,390	$33,240,631
2006	$3,684,613	$6,343,386	$3,392,332	$2,038,330	$15,592,060	$1,028,590	$32,079,311
2005	$3,174,417	$4,557,652	$4,289,687	$2,014,694	$7,581,794	$2,962,375	$24,580,619
2017	$5,119,849	$9,601,295	$9,217,040	$4,379,425	$16,255,233	$1,642,407	$46,215,249
2016	$5,368,827	$9,155,151	$8,839,968	$4,472,917	$15,396,665	$1,570,619	$44,804,147
2015	$7,802,993	$6,276,000	$9,287,804	$4,328,466	$9,893,715	$1,484,758	$39,073,736
2014	$7,891,714	$4,866,282	$9,223,738	$4,213,670	$8,887,580	$955,199	$36,038,183
2013	$6,878,575	$4,823,268	$7,045,796	$4,064,000	$8,975,903	$1,947,231	$33,734,773
2012	$6,545,238	$4,837,156	$4,447,169	$4,063,999	$8,977,440	$1,853,141	$30,724,143
2011	$8,155,890	$7,171,450	$5,447,253	$1,620,712	$6,778,286	$1,016,889	$30,190,480
2010	$7,641,089	$5,300,595	$4,751,832	$1,572,551	$5,932,315	$1,450,279	$26,648,661
2009	$9,026,578	$5,033,063	$5,518,261	$1,661,655	$6,907,654	$1,686,320	$29,833,531
2008	$9,139,442	$5,365,866	$4,932,820	$288,506	$6,143,939	$1,659,994	$27,530,567
2007	$9,167,221	$4,916,881	$4,719,064	$281,880	$5,714,889	$1,846,612	$26,646,547
2006	$8,545,065	$6,558,366	$5,015,166	$254,098	$5,423,735	$1,300,094	$27,096,524
2005	$7,651,092	$7,237,422	$5,200,465	$355,508	$4,998,598	$1,248,057	$26,691,142
2017	$3,526,444	$5,693,628	$6,139,937	$28,681,512	$0	$2,162,292	$46,203,813
2016	$4,237,654	$5,851,095	$5,155,793	$28,745,710	$0	$691,683	$44,681,935
2015	$3,856,010	$5,310,592	$4,924,241	$28,419,259	$0	$1,484,613	$43,994,715
2014	$3,576,261	$4,638,049	$3,326,142	$26,733,437	$0	$2,787,551	$41,061,440
2013	$3,365,856	$3,806,308	$1,702,903	$27,089,358	$0	$965,058	$36,929,483
2012	$3,253,574	$3,650,714	$1,374,052	$26,024,503	$382	$944,196	$35,247,421
2011	$3,012,066	$3,565,247	$1,518,616	$23,897,742	$1,619	$898,454	$32,893,744
2010	$2,522,114	$4,442,993	$1,026,415	$23,662,377	$1,486	$820,437	$32,475,822
2009	$906,052	$1,655,657	$779,348	$23,057,560	$1,161	$819,749	$27,219,527
2008	$1,090,936	$1,246,424	$1,264,290	$15,704,786	$0	$1,658,084	$20,964,520
2007	$1,027,015	$1,369,824	$1,050,219	$12,604,468	$0	$815,487	$16,867,013
2006	$900,178	$1,168,064	$608,428	$11,692,840	$761	$664,816	$15,035,087
2005	$786,749	$558,501	$627,034	$9,746,495	$1,193	$604,315	$12,324,287
2017	$7,378,826	$10,328,892	$12,149,921	$3,173,510	$9,442,051	$3,013,286	$45,486,486
2016	$7,853,132	$10,311,076	$12,012,243	$3,341,671	$9,316,804	$3,776,842	$46,611,768
2015	$7,929,402	$4,409,017	$14,961,973	$3,506,729	$8,920,804	$4,130,093	$43,858,018
2014	$8,427,884	$11,050,334	$10,495,283	$3,416,104	$8,383,280	$3,933,451	$45,706,336
2013	$8,205,637	$11,142,524	$8,412,522	$3,293,399	$8,203,555	$3,908,620	$43,166,257
2012	$8,306,921	$9,261,601	$8,931,133	$3,227,977	$7,613,046	$6,100,227	$43,440,905
2011	$7,615,696	$9,594,182	$6,522,067	$3,151,147	$7,374,427	$3,267,203	$37,524,722
2010	$7,102,661	$6,553,812	$10,075,279	$2,980,056	$7,677,019	$2,543,565	$36,932,392
2009	$5,669,473	$6,406,382	$5,823,554	$2,839,814	$7,009,859	$2,187,531	$29,936,613
2008	$6,237,477	$2,884,410	$5,133,218	$2,657,499	$6,492,262	$2,173,185	$25,578,051
2007	$4,430,742	$3,522,400	$6,930,537	$2,833,090	$6,346,842	$2,172,787	$26,236,398
2006	$3,845,490	$2,771,494	$4,113,976	$2,401,225	$5,643,069	$1,817,836	$20,593,090
2005	$3,556,301	$1,921,897	$3,789,674	$2,390,045	$4,076,567	$1,178,443	$16,912,927
2017	$4,231,475	$3,740,779	$11,476,487	$5,843,347	$17,421,891	$1,958,338	$44,672,317
2016	$4,155,558	$3,307,918	$7,817,743	$5,747,681	$16,501,293	$2,237,170	$39,767,363
2015	$3,880,855	$3,761,499	$7,521,467	$5,543,568	$14,869,005	$2,874,809	$38,451,203
2014	$3,342,818	$6,097,730	$6,071,100	$5,264,541	$14,764,823	$3,198,653	$38,739,665
